Station_Code,isSWMP,DateTimeStamp,Historical,ProvisionalPlus,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,pH,F_pH,Turb,F_Turb
gndbhwq,P,8/5/2018 0:00,0,0,,28.9,<0> ,35.82,<0> ,22.5,<0> ,5.4,<0> ,0.4,<0> ,1.54,<0> ,,<-1> [GCU],7.2,<0> ,5,<0> 
gndbhwq,P,8/5/2018 0:15,0,0,,28.8,<0> ,35.61,<0> ,22.4,<0> ,5.4,<0> ,0.4,<0> ,1.55,<0> ,1.48,<3> ,7.1,<0> ,6,<0> 
gndbhwq,P,8/5/2018 0:30,0,0,,28.8,<0> ,35.65,<0> ,22.4,<0> ,5.4,<0> ,0.4,<0> ,1.56,<0> ,1.49,<3> ,7.1,<0> ,6,<0> 
gndbhwq,P,8/5/2018 0:45,0,0,,28.9,<0> ,35.62,<0> ,22.4,<0> ,5.4,<0> ,0.4,<0> ,1.57,<0> ,1.5,<3> ,7.1,<0> ,6,<0> 
gndbhwq,P,8/5/2018 1:00,0,0,,28.9,<0> ,35.74,<0> ,22.4,<0> ,5.4,<0> ,0.4,<0> ,1.59,<0> ,,<-1> [GCU],7.2,<0> ,6,<0> 
gndbhwq,P,8/5/2018 1:15,0,0,,28.8,<0> ,35.57,<0> ,22.3,<0> ,5.4,<0> ,0.4,<0> ,1.6,<0> ,1.53,<3> ,7.1,<0> ,5,<0> 
gndbhwq,P,8/5/2018 1:30,0,0,,28.9,<0> ,35.74,<0> ,22.4,<0> ,5.4,<0> ,0.4,<0> ,1.62,<0> ,1.55,<3> ,7.2,<0> ,5,<0> 
gndbhwq,P,8/5/2018 1:45,0,0,,28.9,<0> ,35.77,<0> ,22.5,<0> ,5.4,<0> ,0.4,<0> ,1.64,<0> ,1.57,<3> ,7.2,<0> ,6,<0> 
gndbhwq,P,8/5/2018 2:00,0,0,,28.9,<0> ,35.71,<0> ,22.4,<0> ,5.4,<0> ,0.4,<0> ,1.65,<0> ,,<-1> [GCU],7.2,<0> ,6,<0> 
gndbhwq,P,8/5/2018 2:15,0,0,,28.9,<0> ,35.75,<0> ,22.5,<0> ,5.4,<0> ,0.4,<0> ,1.65,<0> ,1.57,<3> ,7.2,<0> ,6,<0> 
gndbhwq,P,8/5/2018 2:30,0,0,,28.9,<0> ,35.76,<0> ,22.5,<0> ,5.4,<0> ,0.4,<0> ,1.65,<0> ,1.57,<3> ,7.1,<0> ,5,<0> 
gndbhwq,P,8/5/2018 2:45,0,0,,28.9,<0> ,35.78,<0> ,22.5,<0> ,5.4,<0> ,0.4,<0> ,1.64,<0> ,1.56,<3> ,7.1,<0> ,5,<0> 
gndbhwq,P,8/5/2018 3:00,0,0,,28.9,<0> ,35.77,<0> ,22.5,<0> ,5.4,<0> ,0.4,<0> ,1.64,<0> ,,<-1> [GCU],7.1,<0> ,5,<0> 
gndbhwq,P,8/5/2018 3:15,0,0,,28.9,<0> ,35.78,<0> ,22.5,<0> ,5.4,<0> ,0.4,<0> ,1.64,<0> ,1.57,<3> ,7.2,<0> ,6,<0> 
gndbhwq,P,8/5/2018 3:30,0,0,,28.9,<0> ,35.77,<0> ,22.5,<0> ,5.4,<0> ,0.4,<0> ,1.64,<0> ,1.56,<3> ,7.2,<0> ,6,<0> 
gndbhwq,P,8/5/2018 3:45,0,0,,28.9,<0> ,35.81,<0> ,22.5,<0> ,5.4,<0> ,0.4,<0> ,1.63,<0> ,1.55,<3> ,7.2,<0> ,6,<0> 
gndbhwq,P,8/5/2018 4:00,0,0,,28.9,<0> ,35.79,<0> ,22.5,<0> ,5.4,<0> ,0.4,<0> ,1.61,<0> ,,<-1> [GCU],7.2,<0> ,6,<0> 
gndbhwq,P,8/5/2018 4:15,0,0,,28.9,<0> ,35.77,<0> ,22.5,<0> ,5.4,<0> ,0.4,<0> ,1.59,<0> ,1.51,<3> ,7.2,<0> ,6,<0> 
gndbhwq,P,8/5/2018 4:30,0,0,,28.9,<0> ,35.68,<0> ,22.4,<0> ,5.4,<0> ,0.4,<0> ,1.58,<0> ,1.5,<3> ,7.2,<0> ,5,<0> 
gndbhwq,P,8/5/2018 4:45,0,0,,28.9,<0> ,35.72,<0> ,22.4,<0> ,5.4,<0> ,0.4,<0> ,1.57,<0> ,1.49,<3> ,7.1,<0> ,6,<0> 
gndbhwq,P,8/5/2018 5:00,0,0,,28.9,<0> ,35.74,<0> ,22.4,<0> ,5.4,<0> ,0.4,<0> ,1.57,<0> ,,<-1> [GCU],7.2,<0> ,5,<0> 
gndbhwq,P,8/5/2018 5:15,0,0,,28.9,<0> ,35.81,<0> ,22.5,<0> ,5.4,<0> ,0.4,<0> ,1.56,<0> ,1.48,<3> ,7.2,<0> ,5,<0> 
gndbhwq,P,8/5/2018 5:30,0,0,,28.9,<0> ,35.77,<0> ,22.5,<0> ,5.4,<0> ,0.4,<0> ,1.55,<0> ,1.47,<3> ,7.2,<0> ,5,<0> 
gndbhwq,P,8/5/2018 5:45,0,0,,28.9,<0> ,35.79,<0> ,22.5,<0> ,5.4,<0> ,0.4,<0> ,1.55,<0> ,1.47,<3> ,7.2,<0> ,5,<0> 
