Station_Code,isSWMP,DateTimeStamp,Historical,ProvisionalPlus,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,pH,F_pH,Turb,F_Turb
gndblwq,P,8/5/2018 0:00,0,0,,30.7,<0> ,36.67,<0> ,23.1,<0> ,91.1,<0> ,6,<0> ,0.79,<0> ,,<-1> [GCU],7.8,<0> ,10,<0> 
gndblwq,P,8/5/2018 0:15,0,0,,30.7,<0> ,36.75,<0> ,23.1,<0> ,89.2,<0> ,5.9,<0> ,0.79,<0> ,0.72,<3> ,7.8,<0> ,12,<0> 
gndblwq,P,8/5/2018 0:30,0,0,,30.6,<0> ,36.7,<0> ,23.1,<0> ,88.9,<0> ,5.9,<0> ,0.8,<0> ,0.73,<3> ,7.8,<0> ,8,<0> 
gndblwq,P,8/5/2018 0:45,0,0,,30.6,<0> ,36.66,<0> ,23,<0> ,87.9,<0> ,5.8,<0> ,0.81,<0> ,0.74,<3> ,7.8,<0> ,9,<0> 
gndblwq,P,8/5/2018 1:00,0,0,,30.5,<0> ,36.69,<0> ,23.1,<0> ,88,<0> ,5.8,<0> ,0.82,<0> ,,<-1> [GCU],7.8,<0> ,10,<0> 
gndblwq,P,8/5/2018 1:15,0,0,,30.6,<0> ,37.11,<0> ,23.4,<0> ,87.4,<0> ,5.8,<0> ,0.84,<0> ,0.77,<3> ,7.8,<0> ,10,<0> 
gndblwq,P,8/5/2018 1:30,0,0,,30.5,<0> ,37.59,<0> ,23.7,<0> ,89.1,<0> ,5.9,<0> ,0.85,<0> ,0.78,<3> ,7.8,<0> ,11,<0> 
gndblwq,P,8/5/2018 1:45,0,0,,30.5,<0> ,37.63,<0> ,23.7,<0> ,87,<0> ,5.7,<0> ,0.86,<0> ,0.79,<3> ,7.8,<0> ,10,<0> 
gndblwq,P,8/5/2018 2:00,0,0,,30.5,<0> ,38,<0> ,24,<0> ,88.2,<0> ,5.8,<0> ,0.88,<0> ,,<-1> [GCU],7.9,<0> ,10,<0> 
gndblwq,P,8/5/2018 2:15,0,0,,30.5,<0> ,37.95,<0> ,23.9,<0> ,86.8,<0> ,5.7,<0> ,0.88,<0> ,0.8,<3> ,7.8,<0> ,10,<0> 
